abbr,r2,r
ST_FIPS,0.003418627533701528,-0.058469030552092516
CIP19BACHL,0.0032928108416149862,0.05738301875655363
AANAPII,0.0032426080537894834,-0.05694390269194309
LONGITUDE,0.0031625022113854736,0.05623612905762161
CIP51CERT4,0.0030840427120229354,-0.055534158065310896
NANTI,0.002948374245592265,-0.05429893411101423
CIP25CERT2,0.0028936094258769462,-0.053792280355799624
CIP30CERT1,0.00288151308403893,-0.05367972693707495
D150_4,0.002546663734660306,-0.05046447993054427
DTRANS_4,0.002546663734660306,-0.05046447993054427
D150_4_WHITE,0.002451013446527591,-0.049507710980488596
D150_4_POOLED,0.0021914432594634992,-0.04681285357103858
UGDS_NHPI,0.002137614904165668,-0.04623434766670411
CIP01CERT4,0.002054848794399001,-0.045330440041974014
GRADS,0.002045974208593955,0.04523244641398423
HBCU,0.0020447962279574873,-0.04521942312720815
CIP38CERT1,0.0019591800042021946,0.044262625364998344
CIP39CERT1,0.0019430094478363692,0.044079580849145664
D150_4_ASIAN,0.0019414107687335388,0.04406144310770516
PELL_RPY_7YR_N,0.0018031621142974928,-0.042463656393408857
RET_PTL4,0.0018016028453130839,0.042445292381053094
MD_INC_RPY_7YR_N,0.0016741561252062284,-0.040916452989063316
CIP29ASSOC,0.0016147863620121108,-0.04018440446257865
LO_INC_RPY_7YR_N,0.0015828118239929055,-0.0397845676612541
NONCOM_RPY_7YR_N,0.0014393262836584165,-0.03793845389124887
CIP19CERT4,0.0013935455649656094,-0.037330223210765956
MD_INC_RPY_5YR_N,0.0013652396943001895,-0.03694915011607425
UNITID,0.0013246298144276693,-0.03639546420129395
FIRSTGEN_RPY_7YR_N,0.0013031570532010157,-0.03609926665738538
NONCOM_RPY_5YR_N,0.0012349611031238856,-0.035142013361842056
NUMBRANCH,0.0012115862849790637,0.034807848037174946
CURROPER,0.0012106120064269308,-0.03479385012364873
INC_N,0.0012080613978884078,-0.034757177645608796
DEP_STAT_N,0.0012080613978884078,-0.034757177645608796
APPL_SCH_N,0.0012080613978884078,-0.034757177645608796
CIP05CERT2,0.0011958676794173242,-0.03458131980444535
PELL_RPY_5YR_N,0.0011644197729546086,-0.03412359554552551
FEMALE_RPY_7YR_N,0.0011448924629142603,-0.03383625958811435
CIP48BACHL,0.0011137546495217268,0.03337296285201131
RPY_7YR_N,0.0011131363394140407,-0.03336369792774837
CIP26CERT2,0.001112701963141375,-0.03335718757841217
NUM41_PUB,0.0010761620838272935,0.0328049094470217
LO_INC_RPY_5YR_N,0.0010694801724051362,-0.032702907705663364
MD_INC_RPY_3YR_N,0.0010582791141489592,-0.03253120216267698
FIRSTGEN_RPY_5YR_N,9.618198307276601e-4,-0.031013220257297695
NONCOM_RPY_3YR_N,9.584022761125818e-4,-0.030958072874657135
MD_INC_DEBT_N,9.34055402084619e-4,-0.030562319972224278
CIP43CERT4,9.169178659461485e-4,-0.030280651676378244
CIP44CERT4,8.949113220190169e-4,0.029915068477591972
FEMALE_RPY_5YR_N,8.874762464175321e-4,-0.02979053954559286
PCIP44,8.707768645574074e-4,0.029508928556581097
RPY_5YR_N,8.694626545530726e-4,-0.02948665214216549
PAR_ED_N,8.61287353555082e-4,-0.02934769758524648
NOTFIRSTGEN_RPY_7YR_N,8.572250680491439e-4,-0.029278406173307042
FEMALE_DEBT_N,8.57224189973132e-4,-0.029278391178019534
DISTANCEONLY,8.44594426865024e-4,-0.02906190680022603
COMPL_RPY_7YR_N,8.175362645267472e-4,-0.028592591077528234
CIP05CERT1,8.118742740669316e-4,-0.028493407554501648
FEMALE_RPY_3YR_N,7.849800391396947e-4,-0.028017495233151994
CIP24CERT4,7.610454679209984e-4,-0.027587052541382495
MENONLY,7.552962845021058e-4,-0.027482654247763368
NOTFIRSTGEN_RPY_5YR_N,7.501495276408062e-4,-0.02738885772793028
